ac50	pod	call	wauc	channel_name	pathway_name	pathway_abb	low	high	geom_mean	nwauc	inactive_inv_logit
ahr_hepg2_luc_resp_ac50_4toxpi	ahr_hepg2_luc_resp_pod_4toxpi	ahr_hepg2_luc_resp_call	ahr_hepg2_luc_resp_wauc	ahr_activation	ahr_agonism	A	1.52	23.5	5.976621119	ahr_hepg2_luc_resp_nwauc_4toxpi	0.057983987
ahr_hepg2_fluor_via_ac50_4toxpi	ahr_hepg2_fluor_via_pod_4toxpi	ahr_hepg2_fluor_via_call	ahr_hepg2_fluor_via_wauc	ahr_cytotoxicity	ahr_cytotoxicity	A.c	3.23	23.2	8.656558208	ahr_hepg2_fluor_via_nwauc_4toxpi	0.040764805
arago_hek293_bla_ratio_ac50_4toxpi	arago_hek293_bla_ratio_pod_4toxpi	arago_hek293_bla_ratio_call	arago_hek293_bla_ratio_wauc	ar(hek293)_activation	ar_agonism(hek293)	B	3.14	28.7	9.493050089	arago_hek293_bla_ratio_nwauc_4toxpi	0.037306771
arago_mdakb2_luc_resp_ac50_4toxpi	arago_mdakb2_luc_resp_pod_4toxpi	arago_mdakb2_luc_resp_call	arago_mdakb2_luc_resp_wauc	ar(mdakb2)_activation	ar_agonism(mdakb2)	C	2.1	41	9.279008568	arago_mdakb2_luc_resp_nwauc_4toxpi	0.03813452
arant_hek293_bla_ratio_ac50_4toxpi	arant_hek293_bla_ratio_pod_4toxpi	arant_hek293_bla_ratio_call	arant_hek293_bla_ratio_wauc	ar(hek293)_inhibition	ar_antagonism(hek293)	D	3.73	28	10.21958903	arant_hek293_bla_ratio_nwauc_4toxpi	0.034746686
arant_mdakb2_luc_resp_ac50_4toxpi	arant_mdakb2_luc_resp_pod_4toxpi	arant_mdakb2_luc_resp_call	arant_mdakb2_luc_resp_wauc	ar(mdakb2)_inhibition	ar_antagonism(mdakb2)	E	3.6	27.5	9.949874371	arant_mdakb2_luc_resp_nwauc_4toxpi	0.035654993
arant_hek293_glo_via_ac50_4toxpi	arant_hek293_glo_via_pod_4toxpi	arant_hek293_glo_via_call	arant_hek293_glo_via_wauc	arant(hek293)_cytotoxicity	arant_cytotoxicity(hek293)	D.c	3.63	23.6	9.255700946	arant_hek293_glo_via_nwauc_4toxpi	0.038226879
arant_mdakb2_fluor_via_ac50_4toxpi	arant_mdakb2_fluor_via_pod_4toxpi	arant_mdakb2_fluor_via_call	arant_mdakb2_fluor_via_wauc	arant(mdakb2)_cytotoxicity	arant_cytotoxicity(mdakb2)	E.c	2.4	25.4	7.807688518	arant_mdakb2_fluor_via_nwauc_4toxpi	0.044997417
are_hepg2_bla_ratio_ac50_4toxpi	are_hepg2_bla_ratio_pod_4toxpi	are_hepg2_bla_ratio_call	are_hepg2_bla_ratio_wauc	are_activation	are	F	2.3	25.1	7.598026059	are_hepg2_bla_ratio_nwauc_4toxpi	0.046181748
are_hepg2_glo_via_ac50_4toxpi	are_hepg2_glo_via_pod_4toxpi	are_hepg2_glo_via_call	are_hepg2_glo_via_wauc	are_cytotoxicity	are_cytotoxicity	F.c	3.63	29.2	10.29543588	are_hepg2_glo_via_nwauc_4toxpi	0.034499537
aromatase_mcf7_luc_resp_ac50_4toxpi	aromatase_mcf7_luc_resp_pod_4toxpi	aromatase_mcf7_luc_resp_call	aromatase_mcf7_luc_resp_wauc	aromatase_inhibition	aromatase_antagonism	G	3	30.4	9.549869109	aromatase_mcf7_luc_resp_nwauc_4toxpi	0.03709304
aromatase_mcf7_fluor_via_ac50_4toxpi	aromatase_mcf7_fluor_via_pod_4toxpi	aromatase_mcf7_fluor_via_call	aromatase_mcf7_fluor_via_wauc	aromatase_cytotoxicity	aromatase_cytotoxicity	G.c	3	26.6	8.933084574	aromatase_mcf7_fluor_via_nwauc_4toxpi	0.039552829
atad5_hek293_luc_resp_ac50_4toxpi	atad5_hek293_luc_resp_pod_4toxpi	atad5_hek293_luc_resp_call	atad5_hek293_luc_resp_wauc	atad5_activation	atad5	H	1.08	11.8	3.569873947	atad5_hek293_luc_resp_nwauc_4toxpi	0.093423687
atad5_hek293_fluor_via_ac50_4toxpi	atad5_hek293_fluor_via_pod_4toxpi	atad5_hek293_fluor_via_call	atad5_hek293_fluor_via_wauc	atad5_cytotoxicity	atad5_cytotoxicity	H.c	3.63	23.4	9.216398429	atad5_hek293_fluor_via_nwauc_4toxpi	0.038383637
genetox_dt40_100_653_glo_via_ac50_4toxpi	genetox_dt40_100_653_glo_via_pod_4toxpi	genetox_dt40_100_653_glo_via_call	genetox_dt40_100_653_glo_via_wauc	dna_damage(dsb)_inhibition	dna_damage(dsb)	I	7	53.3	19.31579664	genetox_dt40_100_653_glo_via_nwauc_4toxpi	0.01868957
genetox_dt40_657_653_glo_via_ac50_4toxpi	genetox_dt40_657_653_glo_via_pod_4toxpi	genetox_dt40_657_653_glo_via_call	genetox_dt40_657_653_glo_via_wauc	dna_damage(srf)_inhibition	dna_damage(srf)	J	7	50.4	18.78297101	genetox_dt40_657_653_glo_via_nwauc_4toxpi	0.019209562
erago_bg1_luc_resp_ac50_4toxpi	erago_bg1_luc_resp_pod_4toxpi	erago_bg1_luc_resp_call	erago_bg1_luc_resp_wauc	er(bg1)_activation	er_agonism(bg1)	K	3.28	21.7	8.436586988	erago_bg1_luc_resp_nwauc_4toxpi	0.041783275
erago_hek293_bla_ratio_ac50_4toxpi	erago_hek293_bla_ratio_pod_4toxpi	erago_hek293_bla_ratio_call	erago_hek293_bla_ratio_wauc	er(hek293)_activation	er_agonism(hek293)	L	1.31	14.6	4.373328252	erago_hek293_bla_ratio_nwauc_4toxpi	0.077591927
erant_bg1_luc_resp_ac50_4toxpi	erant_bg1_luc_resp_pod_4toxpi	erant_bg1_luc_resp_call	erant_bg1_luc_resp_wauc	er(bg1)_inhibition	er_antagonism(bg1)	M	2.98	26.7	8.919977578	erant_bg1_luc_resp_nwauc_4toxpi	0.039608646
erant_hek293_bla_ratio_ac50_4toxpi	erant_hek293_bla_ratio_pod_4toxpi	erant_hek293_bla_ratio_call	erant_hek293_bla_ratio_wauc	er(hek293)_inhibition	er_antagonism(hek293)	N	3.23	24.7	8.932021048	erant_hek293_bla_ratio_nwauc_4toxpi	0.039557352
erant_bg1_fluor_via_ac50_4toxpi	erant_bg1_fluor_via_pod_4toxpi	erant_bg1_fluor_via_call	erant_bg1_fluor_via_wauc	erant(bg1)_cytotoxicity	erant_cytotoxicity(bg1)	M.c	2.78	28.1	8.838438776	erant_bg1_fluor_via_nwauc_4toxpi	0.039959453
erant_hek293_glo_via_ac50_4toxpi	erant_hek293_glo_via_pod_4toxpi	erant_hek293_glo_via_call	erant_hek293_glo_via_wauc	erant(hek293)_cytotoxicity	erant_cytotoxicity(hek293)	N.c	4.06	24.8	10.03434103	erant_hek293_glo_via_nwauc_4toxpi	0.035365472
fxrago_hek293_bla_ratio_ac50_4toxpi	fxrago_hek293_bla_ratio_pod_4toxpi	fxrago_hek293_bla_ratio_call	fxrago_hek293_bla_ratio_wauc	fxr_activation	fxr_agonism	O	1.4	14.5	4.50555213	fxrago_hek293_bla_ratio_nwauc_4toxpi	0.075486736
fxrant_hek293_bla_ratio_ac50_4toxpi	fxrant_hek293_bla_ratio_pod_4toxpi	fxrant_hek293_bla_ratio_call	fxrant_hek293_bla_ratio_wauc	fxr_inhibition	fxr_antagonism	P	2.3	27.8	7.996249121	fxrant_hek293_bla_ratio_nwauc_4toxpi	0.043982997
fxrago_hek293_glo_via_ac50_4toxpi	fxrago_hek293_glo_via_pod_4toxpi	fxrago_hek293_glo_via_call	fxrago_hek293_glo_via_wauc	fxrago_cytotoxicity	fxrago_cytotoxicity	O.c	5	26.2	11.44552314	fxrago_hek293_glo_via_nwauc_4toxpi	0.031140854
fxrant_hek293_glo_via_ac50_4toxpi	fxrant_hek293_glo_via_pod_4toxpi	fxrant_hek293_glo_via_call	fxrant_hek293_glo_via_wauc	fxrant_cytotoxicity	fxrant_cytotoxicity	P.c	4.1	27.4	10.59905656	fxrant_hek293_glo_via_nwauc_4toxpi	0.033544414
