CAS	Chemical.Name	StructureID
3470-36-8	D-Xylo-5-hexulosonic acid, calcium salt	v3a_Tox21_110001
5328-41-6	D-Gluconic acid, barium salt	v3a_Tox21_110002
313-06-4	Estradiol cypionate	v3a_Tox21_301818
115-31-1	Thanite	v3a_Tox21_110004
2439-07-8	8-Quinolinol Salicylic acid (1:1)	v3a_Tox21_110005
1948-33-0	tert-Butylhydroquinone	v3a_Tox21_300081
2437-29-8	Malachite green oxalate	v3a_Tox21_202521
118-10-5	Cinchonine	v3a_Tox21_110009
106-24-1	Geraniol	v3a_Tox21_300136
150-30-1	Phenylalanine	v3a_Tox21_110011
143-74-8	Phenol red	v3a_Tox21_303570
5424-37-3	Aminoquinuride dihydrochloride	v3a_Tox21_110013
59-52-9	Dimercaprol	v3a_Tox21_110014
27887-84-9	(2R,3R)-2,3-Dimercaptosuccinic acid	v3a_Tox21_110015
328-50-7	alpha-Ketoglutaric acid	v3a_Tox21_200918
440-17-5	Fluoperazine dihydrochloride	v3a_Tox21_110017
4995-43-1	Estradiol phosphate	v3a_Tox21_110018
146-48-5	Yohimbine	v3a_Tox21_110019
1319-77-3	Cresol	v3a_Tox21_201115
524-36-7	Pyridoxamine dihydrochloride	v3a_Tox21_110020
138-41-0	Carzenide	v3a_Tox21_110021
511-45-5	Pridinol	v3a_Tox21_110022
129-74-8	Buclizine dihydrochloride	v3a_Tox21_110023
630-60-4	Ouabain	v3a_Tox21_301547
130-85-8	Pamoic acid	v3a_Tox21_113446
23249-97-0	Procodazole	v3a_Tox21_110025
6266-73-5	Cholic acid piperazine (1:1)	v3a_Tox21_110026
59-40-5	Sulfaquinoxaline	v3a_Tox21_300894
132-17-2	Benztropine methylsulfonate	v3a_Tox21_110028
6893-02-3	3,5,3'-Triiodothyronine	v3a_Tox21_301943
68060-64-0	Rolitetracycline hydrochloride	v3a_Tox21_110030
97-24-5	Fenticlor	v3a_Tox21_200961
113-59-7	Chlorprothixene	v3a_Tox21_110032
7722-88-5	Tetrasodium pyrophosphate	v3a_Tox21_110033
51-56-9	Homatropine HBr	v3a_Tox21_110318
114-49-8	Scopolamine hydrobromide	v3a_Tox21_302019
6106-81-6	Scopolamine N-oxide hydrobromide	v3a_Tox21_110555
155-41-9	Scopolamine methylbromide	v3a_Tox21_110037
2870-71-5	Atropine methylbromide	v3a_Tox21_110038
902261-63-6	4H-Pyrrolo[2,3-d]pyrimidin-4-one, 3,7-dihydro-5-(1-piperidinylmethyl)-	v3a_Tox21_113235
4438-22-6	Atropine N-oxide	v3a_Tox21_110039
6202-23-9	Cyclobenzaprine hydrochloride	v3a_Tox21_110040
3562-84-3	Benzbromarone	v3a_Tox21_110041
609-36-9	Proline	v3a_Tox21_110042
4757-55-5	Dimetacrine	v3a_Tox21_110043
113-98-4	Penicillin G potassium	v3a_Tox21_110044
4408-78-0	Phosphonoacetic acid	v3a_Tox21_110045
NOCAS_45108	1-(3-Carboxyphenyl)-2,5-dimethyl-1H-pyrrole-3-carboxylic acid - strychnidin-10-one (1:1)	v3a_Tox21_110046
1229-35-2	Methdilazine hydrochloride	v3a_Tox21_110047
