assay	specific	common_name	technology	cell_type	species	abbreviation	letters	PubChem AID
tox21-ahr-p1	yes	agonism_AhR	luciferase	HepG2	human	Aryl Hydrocarbon Receptor	A	743122
via_tox21-ahr-p1	no	cytotoxicity_AhR/agonism		HepG2	human	Aryl Hydrocarbon Receptor	A.c	743086
tox21-pparg-bla-antagonist-p1	yes	antagonism_PPARg	beta-lactamase	Hek293	human	Peroxisome Proliferator-Activated Receptor gamma	AA	743199
via_tox21-pparg-bla-antagonist-p1	no	cytotoxicity_PPARg/antagonism		Hek293	human	Peroxisome Proliferator-Activated Receptor gamma	AA.c	743194
tox21-rar-agonist-p1	yes	agonism_RSP	luciferase	C3H10T1/2	hamster	Retinol Signaling Pathway	AB	
via_tox21-rar-agonist-p1	no	cytotoxicity_RSP/agonism		C3H10T1/2	mouse	Retinol Signaling Pathway	AB.c	
tox21-ror-cho-antagonist-p1	yes	antagonism_RORr	luciferase	CHO	chicken	Retinoid Orphan Receptor gamma 	AC	
via_tox21-ror-cho-antagonist-p1	no	cytotoxicity_RORr/antagonism		CHO	hamster	Retinoid Orphan Receptor gamma 	AC.c	
tox21-vdr-bla-agonist-p1	yes	agonism_VDR	beta-lactamase	Hek293	human	Vitamin D Receptor	AD	743241
via_tox21-vdr-bla-agonist-p1	no	cytotoxicity_VDR/agonism		Hek293	human	Vitamin D Receptor	AD.c	743224
tox21-vdr-bla-antagonist-p1	yes	antagonism_VDR	beta-lactamase	Hek293	human	Vitamin D Receptor	AE	743242
via_tox21-vdr-bla-antagonist-p1	no	cytotoxicity_VDR/antagonism		Hek293	human	Vitamin D Receptor	AE.c	743225
tox21-rxr-bla-agonist-p1	yes	agonism_RXR	beta-lactamase	Hek293	human	Retinoid X Receptor	AF	
via_tox21-rxr-bla-agonist-p1	no	cytotoxicity_RXR/agonism		Hek293	human	Retinoid X Receptor	AF.c	
dt40-srf	yes	activation_DNA_damage/srf	luciferase	DT40	chicken	Stalled Replication Fork	AG	
via_dt40-srf	no	cytotoxicity_DNA_damage/srf		DT40	chicken	Stalled Replication Fork	AG.c	
dt40-dsb	yes	activation_DNA_damage/dsb	luciferase	DT40	chicken	Double Strand Break	AH	
via_dt40-dsb	no	cytotoxicity_DNA_damage/dsb		DT40	chicken	Double Strand Break	AH.c	
tox21-ap1-agonist-p1	yes	activation_AP1	beta-lactamase	ME-180	human	Activator Protein-1	AI	
via_tox21-ap1-agonist-p1	no	cytotoxicity_AP1/activation		ME-180	human	Activator Protein-1	AI.c	
tox21-ar-bla-agonist-p1	yes	agonism_AR/partial	beta-lactamase	Hek293	human	Androgen Receptor	B	743053
tox21-ar-bla-antagonist-p1	yes	antagonism_AR/partial	beta-lactamase	Hek293	human	Androgen Receptor	C	743063
via_tox21-ar-bla-antagonist-p1	no	cytotoxicity_AR/antagonism/partial		Hek293	human	Androgen Receptor	C.c	743033
tox21-are-bla-p1	yes	activation_Nrf2	beta-lactamase	HepG2	human	Nuclear factor erythroid 2-related factor 2	D	743219
via_tox21-are-bla-p1	no	cytotoxicity_Nrf2/activation		HepG2	human	nuclear factor erythroid 2-related factor 2	D.c	743203
tox21-ar-mda-kb2-luc-agonist-p1	yes	agonism_AR/full	luciferase	MDA-kb2	human	Androgen Receptor	E	743040
tox21-ar-mda-kb2-luc-antagonist-p1	yes	antagonism_AR/full	luciferase	MDA-kb2	human	Androgen Receptor	F	743054
via_tox21-ar-mda-kb2-luc-antagonist-p1	no	cytotoxicity_AR/antagonism/full		MDA-kb2	human	Androgen Receptor	F.c	743041
tox21-aromatase-p1	yes	inhibition_aromatase	luciferase	MCF-7	human		G	743139
via_tox21-aromatase-p1	no	cytotoxicity_aromatase/inhibition		MCF-7	human		G.c	743084
tox21-elg1-luc-agonist-p1	yes	activation_ATAD5	luciferase	Hek293	human		H	720516
via_tox21-elg1-luc-agonist-p1	no	cytotoxicity_ATAD5/activation		Hek293	human		H.c	651634
tox21-er-bla-agonist-p2	yes	agonism_ER/partial	beta-lactamase	Hek293	human	Estrogen Receptor	I	743077
tox21-er-bla-antagonist-p1	yes	antagonism_ER/partial	beta-lactamase	Hek293	human	Estrogen Receptor	J	743078
via_tox21-er-bla-antagonist-p1	no	cytotoxicity_ER/antagonism/partial		Hek293	human	Estrogen Receptor	J.c	743074
tox21-er-luc-bg1-4e2-agonist-p2	yes	agonism_ER/full	luciferase	BG1	human	Estrogen Receptor	K	743079
tox21-er-luc-bg1-4e2-antagonist-p1	yes	antagonism_ER/full	luciferase	BG1	human	Estrogen Receptor	L	743091
via_tox21-er-luc-bg1-4e2-antagonist-p1	no	cytotoxicity_ER/antagonism/full		BG1	human	Estrogen Receptor	L.c	743081
tox21-esre-bla-p1	yes	activation_EndoRS	beta-lactamase	HeLa	human	Endoplasmic Reticulum Stress 	M	
via_tox21-esre-bla-p1	no	cytotoxicity_EndoRS/activation		HeLa	human	Endoplasmic Reticulum Stress 	M.c	
tox21-fxr-bla-agonist-p2	yes	agonism_FXR	beta-lactamase	Hek293	human	Farnesoid X Receptor	N	743239
via_tox21-fxr-bla-agonist-p2	no	cytotoxicity_FXR/agonism		Hek293	human	Farnesoid X Receptor	N.c	743218
tox21-fxr-bla-antagonist-p1	yes	antagonism_FXR	beta-lactamase	Hek293	human	Farnesoid X Receptor	O	743240
via_tox21-fxr-bla-antagonist-p1	no	cytotoxicity_FXR/antagonism		Hek293	human	Farnesoid X Receptor	O.c	743221
tox21-gh3-tre-agonist-p1	yes	agonism_TR	luciferase	GH3	rat	Thyroid Receptor	P	743066
tox21-gh3-tre-antagonist-p1	yes	antagonism_TR	luciferase	GH3	rat	Thyroid Receptor	Q	743067
via_tox21-gh3-tre-antagonist-p1	no	cytotoxicity_TR/antagonism		GH3	rat	Thyroid Receptor	Q.c	743064
tox21-gr-hela-bla-agonist-p1	yes	agonism_GR	beta-lactamase	HeLa	human	Glucocorticoid Receptor	R	720719
tox21-gr-hela-bla-antagonist-p1	yes	antagonism_GR	beta-lactamase	HeLa	human	Glucocorticoid Receptor	S	720725
via_tox21-gr-hela-bla-antagonist-p1	no	cytotoxicity_GR/antagonism		HeLa	human	Glucocorticoid Receptor	S.c	720693
tox21-hse-bla-p1	yes	activation_HSP	beta-lactamase	HeLa	human	Heat Shock Pathway	T	743228
via_tox21-hse-bla-p1	no	cytotoxicity_HSP/activation		HeLa	human	Heat Shock Pathway	T.c	743209
tox21-mitotox-p1	yes	inhibition_MMP	fluorescense	HepG2	human	Mitochondria Membrane Potential 	U	720637
via_tox21-mitotox-p1	no	cytotoxicity_MMP/inhibition		HepG2	human	Mitochondria Membrane Potential 	U.c	720634
tox21-nfkb-bla-agonist-p1	yes	activation_NFkb	beta-lactamase	ME-180	human	Nuclear Factor Kappa Beta	V	
via_tox21-nfkb-bla-agonist-p1	no	cytotoxicity_NFkb/activation		ME-180	human	Nuclear Factor Kappa Beta	V.c	
tox21-p53-bla-p1	yes	activation_p53	beta-lactamase	HCT-116	human		W	720552
via_tox21-p53-bla-p1	no	cytotoxicity_p53/activiation		HCT-116	human		W.c	651633
tox21-ppard-bla-agonist-p1	yes	agonism_PPARd	beta-lactamase	Hek293	human	Peroxisome Proliferator-Activated Receptor delta	X	743227
via_tox21-ppard-bla-agonist-p1	no	cytotoxicity_PPARd/agonism		Hek293	human	Peroxisome Proliferator-Activated Receptor delta	X.c	743211
tox21-ppard-bla-antagonist-p1	yes	antagonism_PPARd	beta-lactamase	Hek293	human	Peroxisome Proliferator-Activated Receptor delta	Y	743226
via_tox21-ppard-bla-antagonist-p1	no	cytotoxicity_PPARd/antagonism		Hek293	human	Peroxisome Proliferator-Activated Receptor delta	Y.c	743213
tox21-pparg-bla-agonist-p1	yes	agonism_PPARg	beta-lactamase	Hek293	human	Peroxisome Proliferator-Activated Receptor gamma	Z	743140
tox21-h2ax-cho-p2	yes	activation_H2AX	fluorescense	CHO-K1	hamster	"H2A histone family, member X"	AJ	
via_tox21-h2ax-cho-p2	no	cytotoxicity_H2AX/activation		CHO-K1	hamster	"H2A histone family, member X"	AJ.c	
